source,record_type,id,company,website,country,address,size_bytes,size_gib,is_published,time_until_publication,posted_at_utc,crawled_at_utc,crawled_at_kst,ransomware_group,discovery_date,estimated_attack_date,details_url,description,files_api_present
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/canias,Canias ERP,caniaserp.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/canias,Industry: ERP; Revenue: $26.7 Million,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/ceva,Ceva Logistics,cevalogistics.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/ceva,Industry: Logistics; Revenue: $20.2 Billion,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/championx,ChampionX,championx.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/championx,Industry: Industrial Machinery & Equipment; Revenue: $3.6 Billion,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/schedler,Schedler-translog,schedler-translog.de,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/schedler,Industry: Logistics; Revenue: $30 Million,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/plc-trans,PLC-Transportation,plc-trans.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/plc-trans,Industry: Transportation; Revenue: $30.7 Million,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/carewell,Carewell,,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/carewell,Industry: Medical Services; Revenue: Undisclosed,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/legalboutique,Legal Boutique,TBD,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/legalboutique,Industry: Legal Services; Revenue: Undisclosed,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/wakefield,Wakefield & Associates,www.wakeassoc.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/wakefield,Industry: Law Firm; Revenue: $89.8 Million,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/volt,Volt,www.volt.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/volt,Industry: Business Services; Revenue: $894.4 Million,
coinbase_cartel,victim,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/plugpower,Plug Power,www.plugpower.com,,,,,,,,2025-10-17T09:53:49.734895+00:00,2025-10-17T18:53:49.734909+09:00,Coinbase Cartel,,,http://fjg4zi4opkxkvdz7mvwp7h6goe4tcby3hhkrz43pht4j3vakhy75znyd.onion/companies/plugpower,Industry: Technology; Revenue: $642.2 Million,
