Name,Leak_Date,Data_Size,File_Count,Details_Link
Klima-Therm,"Oct 19, 2025",312.00 GB,0,
Distribuciones Camba,"Oct 19, 2025",12.00 GB,0,
Kudela & Weinheimer,"Oct 19, 2025",809.00 GB,0,
SANgel,"Oct 19, 2025",0.00 KB,0,
Khatami Law,"Oct 19, 2025",0.00 KB,0,
Laloma,"Oct 19, 2025",20.00 GB,0,
Scales Sales & Service,"Oct 19, 2025",0.00 KB,0,
London Women's Clinic,"Oct 19, 2025",500.00 GB,0,
Stephenson's Rental Services,"Oct 19, 2025","1,170.00 GB",0,
"BIOPHARMEX, SA de CV","Oct 19, 2025",0.00 KB,0,
JA Jennings,"Oct 19, 2025",239.00 GB,0,
Stowaway Storage,"Oct 19, 2025",0.00 KB,0,
Cellini Design Center,"Oct 19, 2025",0.00 KB,0,
Gas Generator Solutions,"Oct 19, 2025",0.00 KB,0,
Octomeca OY,"Oct 19, 2025",0.00 KB,0,
BARCO Rent-A-Truck,"Oct 19, 2025",78.00 GB,0,
Grande Prairie Public Library,"Oct 19, 2025",0.00 KB,0,
Indian Spring Country Club,"Oct 19, 2025",0.00 KB,0,
SIGN Fracture Care International,"Oct 19, 2025",0.00 KB,0,
"Wassa, SRO","Oct 19, 2025",0.00 KB,0,
All Weather Architectural Aluminum,"Oct 19, 2025",269.00 GB,0,
Winholt Equipment Group,"Oct 19, 2025",0.00 KB,0,
Sports Medicine and Orthopaedics,"Oct 19, 2025",0.00 KB,0,
Platinum Wines & Spirits,"Oct 19, 2025",0.00 KB,0,
Force Marketing,"Oct 19, 2025",320.00 GB,0,
The Blood and Marrow Transplant Group of Georgia,"Oct 19, 2025",0.00 KB,0,
Long Island Weight Loss Institute,"Oct 19, 2025",13.00 GB,52713,
pcdpackaging.com,"Oct 16, 2025",0.00 KB,0,
arpis.com,"Oct 16, 2025",512.00 GB,0,
arizonafireplaces.com,"Oct 16, 2025",332.00 GB,0,
coppage.net,"Oct 16, 2025",0.00 KB,0,
gslong.com,"Oct 16, 2025",0.00 KB,0,
bmcinnovation.com,"Oct 16, 2025",0.00 KB,0,
dalton.com,"Oct 16, 2025",230.00 GB,0,
pandarose.ca,"Oct 16, 2025",0.00 KB,0,
Beta Dyne,"Oct 16, 2025",68.00 GB,45980,
Sprague & Jackson,"Oct 15, 2025",49.00 GB,43189,
Middlesex Appraisal Associates,"Oct 15, 2025",24.00 GB,15379,
Rasi Laboratories,"Oct 15, 2025",250.00 GB,0,
Richmond Behavioral Health Authority,"Oct 15, 2025",192.00 GB,393244,
WebCut Converting,"Oct 15, 2025",11.00 GB,파일 수 없음,
Agencia Tributaria,"Oct 15, 2025",60.00 GB,238799,
Centurion Family Office Services LLC,"Oct 15, 2025",0.00 KB,0,
LEYHAUSEN Research,"Oct 15, 2025",0.00 KB,0,
ville-elne,"Oct 15, 2025",0.00 KB,0,
Wheale Law Firm,"Oct 15, 2025",424.00 GB,91864,
Florida Marking Products,"Oct 15, 2025",0.00 KB,0,
Victory Christian Center,"Oct 15, 2025",348.00 GB,0,
Buanderie Blanchelle,"Oct 15, 2025",0.00 KB,0,
Superior Linen Service,"Oct 15, 2025",0.00 KB,0,
Turnkey Africa,"Oct 15, 2025",0.00 KB,0,
Charles River Properties,"Oct 14, 2025",13.00 GB,11388,
"All Truck Transportation Co., Inc.","Oct 14, 2025",261.00 GB,587296,
New Jersey Property-Liability Insurance Guaranty Association,"Oct 14, 2025",244.00 GB,13197,
Pro-Fab,"Oct 14, 2025",0.00 KB,0,
Volkswagen Group France,"Oct 14, 2025",150.00 GB,2000,
Kecy Metal Technologies,"Oct 14, 2025",0.00 KB,0,
SFG Technology Sdn Bhd,"Oct 14, 2025",0.00 KB,0,
Landmark Management,"Oct 14, 2025",0.00 KB,0,
SICE,"Oct 14, 2025",0.00 KB,0,
Alqueria,"Oct 14, 2025",0.00 KB,0,
Urban Linker,"Oct 14, 2025",0.00 KB,0,
Hunter Construction Group,"Oct 14, 2025",4.00 GB,0,
Roger RENARD Entreprise,"Oct 14, 2025",0.00 KB,0,
Home/ Schramm Udo Dipl Kfm Steuerberater,"Oct 14, 2025",0.00 KB,0,
Alu Perpignan,"Oct 14, 2025",0.00 KB,0,
Executive Cabinetry,"Oct 14, 2025",0.00 KB,0,
Rihatec Systemlösungen,"Oct 14, 2025",0.00 KB,0,
Prim Saveurs Import Export,"Oct 14, 2025",0.00 KB,0,
Canapés Mobilier Décoration,"Oct 14, 2025",0.00 KB,0,
Typology,"Oct 14, 2025",0.00 KB,0,
McGeorge Architecture Interiors,"Oct 14, 2025",0.00 KB,0,
LaRosa's,"Oct 14, 2025",0.00 KB,0,
Ditransa,"Oct 14, 2025",0.00 KB,0,
Addis,"Oct 14, 2025",0.00 KB,0,
Trans-World Shipping Service,"Oct 14, 2025",0.00 KB,0,
Gittens Healthcare,"Oct 14, 2025",0.00 KB,0,
"City of Riviera Beach, Florida","Oct 14, 2025",0.00 KB,0,
Buldi,"Oct 14, 2025",0.00 KB,0,
Paris Rétina Vision,"Oct 14, 2025",0.00 KB,0,
ZEF's,"Oct 14, 2025",0.00 KB,0,
Sistema Odontológico Privado,"Oct 14, 2025",0.00 KB,0,
H. Gascon,"Oct 14, 2025",132.00 GB,0,
Polar-studio,"Oct 14, 2025",48.00 GB,0,
Capitol Construction Services,"Oct 14, 2025","1,400.00 GB",0,
Morris-Sockle,"Oct 14, 2025",520.00 GB,0,
HMP Global,"Oct 14, 2025",174.00 GB,0,
Catawba County Government,"Oct 14, 2025",432.00 GB,0,
Repeated Signal Solutions,"Oct 14, 2025","10,200.00 GB",0,
Club Lleuresport,"Oct 14, 2025",54.00 GB,0,
Tong Yang Group,"Oct 14, 2025",100.00 GB,0,
Radiant Beauty Supplies,"Oct 14, 2025",62.00 GB,0,
MPM Imports,"Oct 14, 2025",55.00 GB,0,
DV Hardwoods,"Oct 14, 2025",83.00 GB,10685,
Force Marketing,"Oct 14, 2025",210.00 GB,114590,
M&E Global Group,"Oct 14, 2025",98.00 GB,113768,
JW Howard Attorneys,"Oct 14, 2025",637.00 GB,386832,
Bank3,"Oct 13, 2025",149.00 GB,71358,
San Bernard Electric Cooperative,"Oct 13, 2025",290.00 GB,313185,
SourceOne Corporation,"Oct 13, 2025",528.00 GB,346406,
hautsdefrance.fr,"Oct 13, 2025","1,100.00 GB",0,
Frisquet,"Oct 12, 2025",13.00 GB,21055,
Dynamic Precision Sverige,"Oct 12, 2025",49.00 GB,17272,
Valtorta,"Oct 12, 2025",83.00 GB,46940,
Pratt Homes,"Oct 12, 2025",0.00 KB,0,
Team Schierl Companies,"Oct 12, 2025",631.00 GB,253137,
DuVal & Associates,"Oct 11, 2025",0.00 KB,0,
Greenstar Social Marketing,"Oct 11, 2025",0.00 KB,0,
Atarfil,"Oct 11, 2025",500.00 GB,0,
Karnes Electric Cooperative,"Oct 10, 2025",337.00 GB,270645,
Artan Holding,"Oct 10, 2025",41.00 GB,1303,
grupocaparros.com,"Oct 10, 2025",461.00 GB,파일 수 없음,
Midsun Group,"Oct 9, 2025",198.00 GB,58589,
MBS Secure,"Oct 9, 2025",171.00 GB,54233,
ePayData,"Oct 9, 2025",0.00 KB,0,
www.datamaxx.com,"Oct 8, 2025",616.00 GB,1333468,
Spectra Logic+DATA,"Oct 8, 2025","1,730.00 GB",0,
cameronhodges.com,"Oct 7, 2025",163.00 GB,77930,
Massachusetts Bay Community College,"Oct 7, 2025",56.00 GB,97000,
"Asahi Group Holdings, Ltd.","Oct 7, 2025",27.00 GB,9323,
propertytaxconsulting.com,"Oct 7, 2025",0.00 KB,0,
Clifford Paper Inc,"Oct 6, 2025",34.00 GB,80896,
www.ucisd.net,"Oct 6, 2025",0.00 KB,0,
www.landmarkmgtinc.com,"Oct 6, 2025",29.00 GB,파일 수 없음,
bms.bsd-ri.net,"Oct 6, 2025",0.00 KB,0,
ville-saintclaude.fr,"Oct 6, 2025",0.00 KB,0,
Lipapromet,"Oct 6, 2025",0.00 KB,0,
California Golf Club of San Francisco,"Oct 5, 2025",10.00 GB,12000,
uhlcompany.com,"Oct 4, 2025",105.00 GB,118993,
Rihatec.de,"Oct 4, 2025",28.00 GB,34614,
kecymetals.com,"Oct 4, 2025",0.00 KB,0,
kanzlei-schramm.com,"Oct 4, 2025",0.00 KB,0,
Pratt Homes,"Oct 4, 2025",0.00 KB,0,
mcgeorgeai.com,"Oct 4, 2025",145.00 GB,파일 수 없음,
AIP Asset Management,"Oct 4, 2025",253.00 GB,95633,
BCR Recouvrement,"Oct 4, 2025",30.00 GB,51163,
IONODES,"Oct 3, 2025",0.00 KB,0,
Corban OneSource,"Oct 3, 2025",0.00 KB,0,
Mitchell Industries,"Oct 2, 2025",0.00 KB,0,
Cooptech.hu,"Oct 2, 2025","1,023.00 GB",320293,
sagchip.org,"Oct 2, 2025",331.00 GB,886393,
corpservice.com,"Oct 2, 2025",361.00 GB,84358,
Shamir Medical Center,"Oct 2, 2025",0.00 KB,0,
LE TOIT FOREZIEN,"Oct 2, 2025",0.00 KB,0,
Mitrani Rynor Adamsky & Toland,"Oct 1, 2025","2,457.00 GB",2880877,
www.auto-bernhard.at,"Sep 30, 2025",99.00 GB,79882,
Foremost Asset Management,"Sep 30, 2025",234.00 GB,55439,
Petraville Asset Management,"Sep 30, 2025",53.00 GB,20908,
Mobidic Asset Management,"Sep 30, 2025",39.00 GB,29800,
TRAUM Investment Co.,"Sep 30, 2025",37.00 GB,55232,
Mecklenburg County Public Schools,"Sep 29, 2025",305.00 GB,382697,
"Development Services Group, Inc.","Sep 28, 2025",165.00 GB,42014,
PTR Asset Management,"Sep 28, 2025",668.00 GB,830819,
Rectory School,"Sep 27, 2025",143.00 GB,352229,
thomasmhughes.com,"Sep 26, 2025",59.00 GB,0,
Podo Asset Management,"Sep 25, 2025",0.00 KB,0,
XCAssociates,"Sep 25, 2025",0.00 KB,0,
WEST Inc.,"Sep 25, 2025",0.00 KB,0,
HUB ASSET MANAGEMENT Co,"Sep 25, 2025",0.00 KB,0,
Summit Asset Management,"Sep 25, 2025",0.00 KB,0,
Trustar Capital Management Co,"Sep 25, 2025",0.00 KB,0,
lakehaven.org,"Sep 25, 2025",0.00 KB,0,
halemakua.org,"Sep 25, 2025",0.00 KB,0,
grupobocel.com,"Sep 25, 2025",0.00 KB,0,
sperispa.com,"Sep 25, 2025",690.00 GB,0,
regalmold.com,"Sep 25, 2025",0.00 KB,0,
smpeurope.com,"Sep 25, 2025",232.00 GB,0,
waxhaw.com,"Sep 25, 2025",619.00 GB,0,
oconnorcp.com,"Sep 25, 2025",0.00 KB,0,
turfvalley.com,"Sep 25, 2025",222.00 GB,0,
heparks.org,"Sep 25, 2025",0.00 KB,0,
Pangea Travel Store,"Sep 25, 2025",285.00 GB,195469,
www.officepro.cl,"Sep 24, 2025",0.00 KB,0,
www.mpmimports.com.cy,"Sep 24, 2025",0.00 KB,0,
www.sopsrl.com,"Sep 24, 2025",0.00 KB,0,
www.chinup.com.tw,"Sep 23, 2025",0.00 KB,0,
www.cr-installers.com,"Sep 23, 2025",0.00 KB,0,
www.meduane-habitat.fr,"Sep 23, 2025",0.00 KB,0,
www.apm-finance.de,"Sep 23, 2025",0.00 KB,0,
KLG Vertrieb GmbH,"Sep 23, 2025",111.00 GB,116150,
Apex Bulk,"Sep 22, 2025",137.00 GB,192013,
nfinorth.com,"Sep 22, 2025","1,700.00 GB",0,
ZEF,"Sep 21, 2025",500.00 GB,0,
goodcents.com,"Sep 20, 2025",0.00 KB,0,
NV ELMAR,"Sep 20, 2025",0.00 KB,0,
cegconstruction.com,"Sep 20, 2025",0.00 KB,0,
Edelman&Edelman,"Sep 20, 2025",0.00 KB,0,
Promociones Luis Barros,"Sep 19, 2025",172.00 GB,162868,
EUM Asset Management,"Sep 18, 2025",0.00 KB,0,
Broad High Asset Management,"Sep 18, 2025",10.00 GB,16260,
ST Asset Management Co,"Sep 18, 2025",0.00 KB,0,
EOS Asset management,"Sep 18, 2025",0.00 KB,0,
Orum Asset management,"Sep 18, 2025",0.00 KB,0,
Dblock Asset Management Co,"Sep 18, 2025",0.00 KB,0,
SUNIQUE Asset Management Co,"Sep 17, 2025",0.00 KB,0,
Zebra Asset Management Co,"Sep 17, 2025",0.00 KB,0,
Saebom Asset Management,"Sep 17, 2025",0.00 KB,0,
spartanburgcounty,"Sep 17, 2025",390.00 GB,488711,
BiznessHosting,"Sep 16, 2025",0.00 KB,0,
www.vdyne.com,"Sep 16, 2025",278.00 GB,39000,
"Inotiv, Inc","Sep 14, 2025",176.00 GB,161967,
Pollex Asset Management Co.,"Sep 14, 2025",0.00 KB,0,
Awesome Asset Management Co,"Sep 14, 2025",5.00 GB,10552,
Human and Bridge Asset Management,"Sep 14, 2025",0.00 KB,0,
Klarman Asset Management,"Sep 14, 2025",0.00 KB,0,
LX Asset Management,"Sep 14, 2025",0.00 KB,0,
Melon Asset Management Co.,"Sep 14, 2025",0.00 KB,0,
Majesty Asset Management Co.,"Sep 14, 2025",0.00 KB,0,
APEX Asset Management,"Sep 14, 2025",0.00 KB,0,
VANCHOR Asset Management,"Sep 14, 2025",0.00 KB,0,
Office Of The Registrar Of Political Parties,"Sep 14, 2025",27.00 GB,0,
opso.us,"Sep 13, 2025",842.00 GB,0,
bio3g.com,"Sep 13, 2025",0.00 KB,0,
trchealthcare.com,"Sep 13, 2025",0.00 KB,0,
volinc.com,"Sep 13, 2025",0.00 KB,0,
ashe.com.co,"Sep 12, 2025",753.00 GB,855600,
Eagle Excavation,"Sep 12, 2025",0.00 KB,0,
UT HEALTH Austin,"Sep 12, 2025",9.00 GB,16249,
EURORDIS,"Sep 12, 2025",20.00 GB,8130,
PQCNC Hospitals,"Sep 12, 2025",9.00 GB,4500,
American Journal of Managed Care - AJMC,"Sep 12, 2025",40.00 GB,59726,
denali-industrial.com,"Sep 12, 2025",0.00 KB,0,
TAKwest,"Sep 11, 2025",228.00 GB,0,
Pieffe Auto Group,"Sep 11, 2025",0.00 KB,0,
Wouters France,"Sep 9, 2025",0.00 KB,0,
cvillesettlementco.com,"Sep 9, 2025",460.00 GB,0,
Ekotrade,"Sep 8, 2025",900.00 GB,950682,
Plan B Die Fachanwaltskanzlei,"Sep 8, 2025",330.00 GB,0,
EPLS: Entreprise d'Installations électriques Courant Fort,"Sep 8, 2025",416.00 GB,303740,
runaces.com,"Sep 7, 2025",0.00 KB,0,
Mechatronics,"Sep 6, 2025",0.00 KB,0,
optometrics.com,"Sep 6, 2025",0.00 KB,0,
BKV Group,"Sep 5, 2025",378.00 GB,217632,
Running Aces,"Sep 5, 2025",600.00 GB,571323,
flamgard.co.uk,"Sep 3, 2025",0.00 KB,0,
Master System Inc,"Sep 3, 2025",0.00 KB,0,
musimmas.com,"Sep 3, 2025",0.00 KB,0,
NPIAV,"Sep 3, 2025",148.00 GB,93800,
elche.es,"Sep 3, 2025",823.00 GB,0,
blytheco.com,"Sep 3, 2025",324.00 GB,0,
identic.be,"Sep 2, 2025",0.00 KB,0,
Osaki Medical,"Sep 2, 2025",113.00 GB,273512,
PathoQuest-Biotechnology Research,"Sep 1, 2025",147.00 GB,171577,
L&S Proline,"Aug 30, 2025",0.00 KB,0,
Tecnología Especializada Asociada de México,"Aug 30, 2025",622.00 GB,291000,
ESIC_TR,"Aug 30, 2025",421.00 GB,97000,
Rivertown Surgey Center,"Aug 30, 2025",0.00 KB,0,
atlanta neighborhood charter school,"Aug 29, 2025",0.00 KB,137000,
"Town of Chatham, MASSACHUSETTS","Aug 28, 2025",0.00 KB,0,
ogdenpubs.com,"Aug 28, 2025",0.00 KB,0,
ibew1547.org,"Aug 28, 2025",0.00 KB,0,
allphaselandscape.net,"Aug 28, 2025",280.00 GB,135000,
Ekmanian Tax & Accounting,"Aug 28, 2025",0.00 KB,0,
gmcontractinginc.com,"Aug 28, 2025",18.00 GB,0,
camaradealmeria.com,"Aug 27, 2025",771.00 GB,138450,
Weathercraft Companies,"Aug 27, 2025",0.00 KB,0,
brebeuf.org,"Aug 26, 2025",0.00 KB,40250,
www.nuggetent.com,"Aug 25, 2025",0.00 KB,0,
gibbswire.com,"Aug 25, 2025",0.00 KB,0,
nrlassoc.com,"Aug 25, 2025",0.00 KB,0,
www.ecodemolizionisrl.com,"Aug 22, 2025",0.00 KB,0,
Inicio - Ganadería Revuelta,"Aug 22, 2025",639.00 GB,1216506,
www.greneker.com,"Aug 21, 2025",0.00 KB,0,
naturefresh.ca,"Aug 21, 2025",0.00 KB,0,
www.gillette-ac.com,"Aug 21, 2025",0.00 KB,0,
Spohn + Burkhardt GmbH & Co KG,"Aug 21, 2025",610.00 GB,675000,
